userName,content,score,thumbsUpCount,reviewCreatedVersion,at,cleaned_content,sentiment_score,sentiment_label,review_length
Will Harwell,I'm two years in and I still think one star is appropriate for the free version. Now they took away the practice for more hearts and I'm going to lose my two year streak.,1,4,6.27.4,2025-04-28 08:45:20,im two years in and i still think one star is appropriate for the free version now they took away the practice for more hearts and im going to lose my two year streak,0.1531,positive,34
Flax Gamer,perfect 👌,5,0,6.27.4,2025-04-28 08:44:39,perfect,0.5719,positive,1
MANICKAJOTHI JOTHI,good,5,0,5.141.7,2025-04-28 08:44:22,good,0.4404,positive,1
Amirah Aborro,very helpful kind and cute,5,0,6.27.4,2025-04-28 08:43:53,very helpful kind and cute,0.868,positive,5
Cubic Khant,great,5,0,6.27.4,2025-04-28 08:43:41,great,0.6249,positive,1
Leonardo Noblak,"It's an excellent app, fully featured and with interactions with other players! And I loved the latest addition to the weekly ranking bar (course flag and each person's level), encouraging everyone to increase their level and get an idea of ​​the other courses!",5,0,,2025-04-28 08:42:34,its an excellent app fully featured and with interactions with other players and i loved the latest addition to the weekly ranking bar course flag and each persons level encouraging everyone to increase their level and get an idea of the other courses,0.9231,positive,43
Anisha Khatun,wonderful,5,0,6.27.4,2025-04-28 08:42:21,wonderful,0.5719,positive,1
Michael Verdin,i learned so much,5,0,6.27.4,2025-04-28 08:42:05,i learned so much,0.0,neutral,4
Youssef Taouni,the ads are really wasting you're time. I mean after all lessons we get ad for getting super I will never get super happy,3,0,6.27.4,2025-04-28 08:39:47,the ads are really wasting youre time i mean after all lessons we get ad for getting super i will never get super happy,0.4232,positive,24
Tamir,"Well its good but the 1 star is gone because everytime i enter a promo code, it either says internet connection, expired or just not valid. But i learnt lots of new words in english and i learnt lots of chinese so the 4 stars are here just lke that.",4,0,6.27.4,2025-04-28 08:38:13,well its good but the 1 star is gone because everytime i enter a promo code it either says internet connection expired or just not valid but i learnt lots of new words in english and i learnt lots of chinese so the 4 stars are here just lke that,0.3612,positive,50
Jacklyn Sams,"what would be fantastic is if call would stop advertising the ""super duolingo"" after EVERY lesson. it's really annoying and unnecessary. if people want it they'll buy it.",4,0,6.27.4,2025-04-28 08:37:43,what would be fantastic is if call would stop advertising the super duolingo after every lesson its really annoying and unnecessary if people want it theyll buy it,0.5584,positive,28
Trevor Cartee,giving a speaking challenge in unit one that is extremely hard is stupid,1,0,,2025-04-28 08:37:34,giving a speaking challenge in unit one that is extremely hard is stupid,-0.3933,negative,13
Kanishka Sharma,it's very good app,5,0,6.27.4,2025-04-28 08:37:33,its very good app,0.4927,positive,4
Sama Mahmoud,Best English education 😍🫶🏻,5,0,6.26.2,2025-04-28 08:37:02,best english education,0.6369,positive,3
Lily Ahamed,Good Language App,5,0,,2025-04-28 08:35:55,good language app,0.4404,positive,3
Chisom Mbanefo,the 👌 best,5,0,6.27.4,2025-04-28 08:34:37,the best,0.6369,positive,2
Prince Chauhan,nice Evening ❤️❤️❤️❤️,5,0,6.26.2,2025-04-28 08:34:18,nice evening,0.4215,positive,2
Md Hares mia,best app for learning English language,5,0,6.27.4,2025-04-28 08:33:11,best app for learning english language,0.6369,positive,6
Jay Smart,"I have used this for several years now. I sign into my account today and see that I have been signed up for their premium account. I did not sign up, and their is no ability to return my account to the regular account. Poor business practice, and very scammy.",1,1,6.27.4,2025-04-28 08:31:10,i have used this for several years now i sign into my account today and see that i have been signed up for their premium account i did not sign up and their is no ability to return my account to the regular account poor business practice and very scammy,-0.4588,negative,50
Alphones Odeyar,It is really helpful to language .. but I wish there would be some more options .. but otherwise it is really helpful and good Learning app ..!,5,0,6.27.4,2025-04-28 08:30:27,it is really helpful to language but i wish there would be some more options but otherwise it is really helpful and good learning app,0.9323,positive,25
Ãyëßhå Âktër Mîm,Alhamdulillah,5,0,6.27.4,2025-04-28 08:27:18,alhamdulillah,0.0,neutral,1
